node_id,theme_id,phase,state_description,trigger,hypotheses,confidence_level,notes
NODE-001A,THEME-001,異常検知,スマートキーでドアが開かない,ドアに触れた,"スマートキー電池切れ|車両バッテリー上がり|電波干渉|システム故障",0.9,初期ノード
NODE-001B,THEME-001,原因仮説,インジケーターが点灯しない,解錠操作,"スマートキー電池切れ|電波干渉",0.8,キー電池切れ疑い
NODE-001D,THEME-001,原因仮説,インジケーターが点灯する,解錠操作,"車両バッテリー上がり|車両システム故障",0.8,車両側問題疑い
NODE-001E,THEME-001,対応選択,電池交換したい,根本解決意図,"電池交換手順|販売店依頼",0.7,電池交換実施
NODE-001F,THEME-001,対応選択,機械キーで開錠したい,即時解決意図,"機械キー使用手順",0.9,機械キー使用決定
NODE-001G,THEME-001,診断,バッテリー上がり対応が必要,診断完了,"ジャンプスタート|ロードサービス",0.85,バッテリー上がり判定
NODE-001H,THEME-001,実施,機械キーで開錠を試みている,開錠操作,"開錠成功|ドアロック故障",0.8,機械キー開錠実施
NODE-001I,THEME-001,問題判定,機械キーが見つからない,確認結果,"機械キーの場所確認|ロードサービス",0.9,機械キー未所持
NODE-001J,THEME-001,問題判定,ドアロックシステム故障の可能性,診断結果,"ドアロック故障|アクチュエーター故障",0.9,専門家対応必要
NODE-001K,THEME-001,診断,電池交換したが問題が解決しない,電池交換後,"複数原因|車両側問題",0.8,電池交換で未解決
NODE-001L,THEME-001,診断,その他の原因を探る,診断継続,"スマートキー故障|車両受信機故障",0.7,その他診断
NODE-001M,THEME-001,診断,電波干渉の可能性を確認,環境確認,"電波干渉|その他原因",0.75,電波干渉診断
NODE-001N,THEME-001,対応,電波干渉への対応を実施,対応実施,"キーを近づける|場所を変える",0.7,電波干渉対応
NODE-001O,THEME-001,対応,代替のスマートキーで試す,代替手段,"元のキー故障|車両側問題",0.75,代替キー使用
NODE-001P,THEME-001,エスカレーション,ロードサービスへの連絡が必要,判定完了,"ロードサービス依頼",0.95,ロードサービス
NODE-001Q,THEME-001,解決,問題解決・予防策の案内,問題解決,"予防策|定期点検",0.9,解決・フォローアップ
NODE-001R,THEME-001,判定,スマートキー本体の故障と判定,診断完了,"キー修理|キー交換",0.85,キー故障判定
NODE-002A,THEME-002,異常検知,ブレーキ警告灯が点灯している,走行中,"パーキングブレーキ作動|ブレーキ液不足|システム異常",0.9,
NODE-002B,THEME-002,判定,パーキングブレーキが解除されている,停車時,"ブレーキ液不足|システム異常",0.8,
NODE-002C,THEME-002,安全判断,走行を続けてよいか不安,警告灯点灯,"走行不可|販売店連絡",0.9,安全優先
NODE-003A,THEME-003,異常検知,タイヤ空気圧警告灯が点灯している,走行中,"空気圧低下|急激な空気漏れ|センサー異常",0.9,
NODE-003B,THEME-003,判定,タイヤが明らかに潰れて見える,停車時,"急激な空気漏れ",0.9,
