オプションID,オプション名称,オプション価格,対応車種,効果,推奨顧客,備考
OPT_001,ブラインドスポットモニター（BSM）,5,アクアG,死角の車両検知,初心者・安全重視,車線変更が多い人におすすめ
OPT_002,オートハイビーム（AHS）,10,アクアZ,自動ハイビーム切替,夜間運転が多い人,夜間の視認性向上
OPT_003,パノラミックビューモニター（PVM）,5,クラウンRS・ランドクルーザー,上から見た映像表示,駐車が苦手な人・初心者,狭い駐車場で便利
OPT_004,ハンズフリーパワーバックドア,8,ランドクルーザー250VX・ハリアー,足で開閉操作,買い物が多い人・子育て世代,両手がふさがっている時に便利
OPT_005,デジタルインナーミラー,6,ランドクルーザー・ハリアー・クラウン,後方カメラ映像表示,後席に人や荷物が多い人,視認性が大幅に向上
OPT_006,シートヒーター（後席）,4,全車種,後席座面加温,家族利用・長距離移動,冬季の快適性向上
OPT_007,ステアリングヒーター,3,全車種,ステアリング加温,寒冷地・冬季運転,手の冷えを軽減
OPT_008,シートクーラー,5,上位グレード,座面冷却,夏季・暑い地域,夏の快適性向上
OPT_009,パーキングアシスト,8,全車種,自動駐車支援,駐車が苦手な人・初心者,ステアリング操作を自動化
OPT_010,リアシートリクライニング（電動）,6,ミニバン・SUV,後席背もたれ電動調整,家族利用・長距離移動,後席の快適性向上
