予測アクションID,アクション名称,カテゴリ,実施タイミング,実施方法,期待効果,優先度
ACTION_001,試乗案内,商談促進,初回来店後3日以内,電話・メール,購買意欲向上,高
ACTION_002,見積再提示,商談促進,見積提示後1週間,電話,価格交渉進展,高
ACTION_003,競合比較資料送付,商談促進,比較検討中,メール,差別化明確化,中
ACTION_004,特別値引き提案,商談促進,商談長期化時,電話,成約促進,高
ACTION_005,納車日確定連絡,納車準備,契約後1週間,電話,期待感醸成,高
ACTION_006,納車前確認,納車準備,納車3日前,電話,不安解消,高
ACTION_007,1週間後フォロー電話,アフターフォロー,納車後1週間,電話,初期不明点解消,高
ACTION_008,1ヶ月点検案内,アフターフォロー,納車後3週間,電話・メール,点検予約,中
ACTION_009,6ヶ月点検案内,アフターフォロー,納車後5ヶ月,メール・DM,点検予約,中
ACTION_010,12ヶ月点検案内,アフターフォロー,納車後11ヶ月,電話・メール,点検予約,高
ACTION_011,オプション追加提案,追加販売,納車後1ヶ月,電話・メール,追加収益,中
ACTION_012,新型車案内,追加販売,新型発売時,メール・DM,買い替え検討,中
ACTION_013,イベント招待,エンゲージメント,イベント開催時,メール・DM,関係性維持,低
ACTION_014,アンケート依頼,エンゲージメント,納車後1ヶ月・1年,メール,満足度把握,中
ACTION_015,季節メンテナンス案内,アフターフォロー,季節の変わり目,メール・DM,来店促進,低
ACTION_016,クレーム対応フォロー,サポート,クレーム対応後3日,電話,満足度回復,最高
ACTION_017,休眠顧客掘り起こし,再活性化,6ヶ月未接触時,電話・DM,関係性回復,中
ACTION_018,買い替え提案,追加販売,納車後3年以上,電話・DM,買い替え促進,高
ACTION_019,紹介キャンペーン案内,追加販売,満足度高い顧客,メール,紹介獲得,中
ACTION_020,VIP特典案内,エンゲージメント,優良顧客,電話・郵送,ロイヤルティ向上,中
