商談ID,顧客プロファイルID,家族構成ID,用途ID,予算ID,商談シーンID,総合提案レベル,推奨車種ID,推奨車種名,推奨グレード,推奨理由,推奨メーカーオプション,オプション推奨理由,推奨トークスクリプト,重点訴求ポイント,提示資料,デモ・体験,次ステップ提案,備考
SALES_001,PROF_001,FAM_001,USE_001,BUD_001,SCENE_001,2.1,CAR_001,アクア,G,初めての車購入で予算150万円以下。燃費が良く維持費が安いエントリーモデルが最適,BSM（5万円）,初心者には死角検知が安全性向上に有効,初めての車購入ですね。まずは車の基本的な使い方から、安心してお使いいただけるようご説明させていただきます。アクアGは燃費も良く、運転しやすいコンパクトカーです。,燃費の良さ、維持費の安さ、運転のしやすさ、安全装備の充実,初心者向けパンフレット、維持費シミュレーション、安全装備動画,駐車支援システムのデモ、スマホ連携体験、BSMの実演,試乗の提案、購入後サポート説明,丁寧な基礎説明が必要
SALES_002,PROF_002,FAM_004,USE_003,BUD_003,SCENE_002,1.2,CAR_008,プリウス,Z,同メーカー買い替えで子供送迎用途。室内空間が広く安全装備充実のハイブリッド,パーキングアシスト（8万円）,送迎で駐車機会が多いため駐車支援が便利,前回のモデルからさらに進化した安全装備と、お子様の送迎に便利な機能をご紹介します。プリウスZは室内も広く、ハイブリッドで燃費も優秀です。,新型の安全装備、乗降性の向上、室内空間の拡大、燃費改善,新旧比較表、安全装備進化資料、室内空間比較,チャイルドシート装着デモ、パーキングアシスト体験,試乗予約、見積提示,同メーカーなので簡潔に差分説明
SALES_003,PROF_003,FAM_002,USE_008,BUD_004,SCENE_001,1.5,CAR_006,ハリアー,Z,他メーカーから乗り換え・趣味ドライブ。人気SUVで走行性能と質感が高い,ハンズフリーパワーバックドア（8万円）・デジタルインナーミラー（6万円）,アウトドアでの荷物積載に便利。視認性も向上,他メーカーからお乗り換えをご検討いただきありがとうございます。当社の強みと、○○様のドライブスタイルに合った特長をご紹介します。ハリアーは走行性能と上質な質感が魅力です。,走行性能の優位性、先進技術、ブランド信頼性、アフターサービス,他社比較表、走行性能データ、顧客満足度調査,試乗車での走行体験予約、コネクテッド機能デモ,試乗予約、競合比較資料提供,他社との差別化を明確に
SALES_004,PROF_004,FAM_002,USE_008,BUD_005,SCENE_004,0.9,CAR_007,クラウン,RS,車に詳しい・趣味ドライブ・プレミアム価格。技術的に優れたセダン最上位,デジタルインナーミラー（6万円）,技術志向の顧客には先進装備が魅力,試乗いかがでしたか？走行性能や先進装備について、技術的な詳細もご説明できます。クラウンRSは最新技術が詰まったフラッグシップモデルです。,エンジンスペック、シャシー性能、先進運転支援の技術詳細,技術仕様書、性能曲線図、システム構成図,詳細設定メニュー確認、カスタマイズオプション提案,見積提示、オプション詳細説明,技術的な深掘りに対応
SALES_005,PROF_005,FAM_003,USE_003,BUD_002,SCENE_003,1.8,CAR_002,アクア,Z,車に詳しくない・乳幼児あり・子供送迎。標準グレードで安全装備充実,パーキングアシスト（8万円）・後席シートヒーター（4万円）,駐車が苦手な人向け。子供の快適性向上,お子様との安全なドライブのために、この車がどのようにサポートしてくれるかを、実際に体験していただきながらご説明します。アクアZは安全装備が充実しています。,自動ブレーキの仕組み、チャイルドシート対応、乗降のしやすさ、見守り機能,安全装備わかりやすい図解、子育て家族の体験談、安全性能試験結果,チャイルドシート装着体験、安全装備の実演、スマホアプリ連携,試乗実施、家族での再来店提案,わかりやすく丁寧な説明
SALES_006,PROF_006,FAM_001,USE_006,BUD_002,SCENE_005,1.3,CAR_002,アクア,Z,法人・営業車両。燃費性能とTCOに優れたハイブリッド,なし,法人はコスト重視のため標準装備で十分,御社の業務効率向上とコスト削減の観点から、最適なプランをご提案いたします。アクアは燃費性能に優れ、メンテナンス性も良好です。,TCO（総保有コスト）、燃費性能、メンテナンス性、耐久性,TCO試算表、法人向けプラン、メンテナンスパック、リース比較,燃費シミュレーション、メンテナンス説明、車両管理システム,契約条件調整、複数台割引提案,ビジネス視点での提案
SALES_007,PROF_007,FAM_002,USE_008,BUD_006,SCENE_002,1.0,CAR_005,レクサスES300h,version L,高級志向・ラグジュアリー価格。最上位のプレミアムセダン,シートクーラー（5万円）,高級車には快適装備の充実が期待される,最上位グレードならではの質感と、最新の先進技術をご体験いただけます。特別な一台をお選びいただくためのご提案をさせていただきます。レクサスES300hは最高級の質感と静粛性が魅力です。,最上位グレードの質感、専用装備、ブランド価値、所有する喜び,最上位グレードカタログ、専用装備詳細、オーナーズボイス,本革シート体感、プレミアムオーディオ試聴、特別色確認,試乗（最上位グレード）、特別オプション提案,高級志向に合わせた提案
SALES_008,PROF_008,FAM_004,USE_002,BUD_001,SCENE_001,1.4,CAR_001,アクア,G,実用重視・買い物メイン・エントリー価格。コスパ最優先,なし,実用重視なので標準装備で十分,毎日の使いやすさと、家計に優しい経済性を両立した、実用的な一台をご紹介します。アクアGは燃費も良く、小回りも効いて使いやすいです。,燃費の良さ、維持費の安さ、使い勝手の良さ、十分な装備,実燃費データ、維持費シミュレーション、標準装備一覧,荷室の広さ確認、小回り性能体験、燃費計の見方,試乗予約、月々の支払いシミュレーション,コスパの良さを強調
SALES_009,PROF_009,FAM_004,USE_001,BUD_003,SCENE_002,1.3,CAR_008,プリウス,Z,環境意識高い・通勤用途。ハイブリッドの代表格,なし,環境性能が最優先なので標準装備で十分,環境性能と経済性を両立したハイブリッドシステムの魅力をご説明します。地球にも家計にも優しい選択です。プリウスは環境性能のパイオニアです。,ハイブリッド燃費、CO2削減効果、エコカー減税、静粛性,環境性能データ、エコカー減税額、燃料費比較、環境貢献度,ハイブリッド走行モード体験、燃費モニター確認,試乗（ハイブリッド）、補助金申請サポート,環境価値を訴求
SALES_010,PROF_010,FAM_003,USE_003,BUD_003,SCENE_003,1.6,CAR_008,プリウス,Z,安全重視・子供送迎。最新の安全装備が充実,パーキングアシスト（8万円）,安全性を最優先する顧客には駐車支援も重要,お子様の安全を守る最新の安全装備について、一つ一つ丁寧にご説明します。試乗では実際に安全装備の作動を体験していただけます。プリウスZは予防安全装備が充実しています。,予防安全装備の詳細、衝突安全性能、チャイルドシート適合、見守り機能,安全性能評価書、安全装備詳細資料、事故回避事例,自動ブレーキ体験、死角モニター確認、チャイルドシート装着,試乗実施、安全装備の再確認,安全性を最優先で説明
