機能ID,機能名,機能略称,機能カテゴリ,機能説明,初期状態,常時ON可否,操作頻度,効果を発揮する人,効果を発揮する状況,主な効果,操作方法,注意事項,備考
FN001,アダプティブクルーズコントロール,ACC,運転支援,前方車両との車間距離を保ちながら自動で加減速する機能,OFF,常時ON可能,一度ONで継続,初心者・長距離運転者,高速道路・渋滞時,疲労軽減・安全性向上,ステアリング右側スイッチで設定,低速では作動しない場合あり,渋滞追従機能付きは0km/hから対応
FN002,レーンキープアシスト,LKA,運転支援,車線中央を維持するようにステアリング操作を支援,OFF,常時ON可能,一度ONで継続,初心者・長距離運転者,高速道路・一般道,車線逸脱防止・疲労軽減,ステアリング左側レバーで設定,手放し運転は不可,LTA（レーントレーシングアシスト）とも呼ばれる
FN003,パノラミックビューモニター,PVM,駐車支援,車両周囲を上から見たように表示する機能,OFF,都度操作,都度操作が必要,初心者・全ドライバー,駐車場・狭い場所,駐車時の安全性向上,ディスプレイの「カメラ」ボタン,カメラの汚れに注意,パーキングアシスト機能と連携可能
FN004,インテリジェントクリアランスソナー,ICS,駐車支援,駐車時の障害物を検知し自動ブレーキをかける機能,ON,常時ON,操作不要,全ドライバー,駐車場,衝突防止,常時作動（設定でOFF可能）,低速時のみ作動,踏み間違い事故防止に有効
FN005,オートハイビーム,AHS,視認支援,対向車を検知して自動でハイビーム・ロービームを切り替える機能,OFF,常時ON可能,一度ONで継続,全ドライバー,夜間・暗い道路,視認性向上,ステアリング左側レバーを前方に押す,街灯が多い場所では効果薄,アダプティブハイビームシステムもあり
FN006,ブラインドスポットモニター,BSM,運転支援,死角の車両を検知してドアミラーに警告表示する機能,ON,常時ON,操作不要,全ドライバー,市街地・高速道路,車線変更時の安全性向上,常時作動（設定でOFF可能）,ドアミラーのランプに注意,車線変更時の事故防止
FN007,シートヒーター,シートヒーター,快適機能,座面と背もたれを温める機能,OFF,都度操作,都度操作が必要,全ドライバー,冬季,快適性向上・腰痛予防,シート横のスイッチで3段階調整,長時間使用時は低温やけどに注意,前席・後席それぞれ独立制御
FN008,ステアリングヒーター,ステアリングヒーター,快適機能,ステアリングを温める機能,OFF,都度操作,都度操作が必要,全ドライバー,冬季,快適性向上,ステアリング横のスイッチ,手袋着用時は効果薄,エンジン始動後に自動ONも可能
FN009,パワーバックドア,パワーバックドア,便利機能,バックドアを自動で開閉する機能,OFF,都度操作,都度操作が必要,全ドライバー,買い物・荷物の積み下ろし,利便性向上,スマートキー長押しまたは車内ボタン,開閉中は周囲に注意,ハンズフリー機能付きもあり
FN010,デジタルインナーミラー,デジタルインナーミラー,便利機能,後方カメラの映像をミラーに表示する機能,OFF,都度操作,都度操作が必要,全ドライバー,後席に人・荷物がある時,視認性向上,ミラー下部のスイッチで切替,通常ミラーとの切替可能,夜間でも明るく見える
FN011,リアシートリクライニング,リアシートリクライニング,快適機能,後席の背もたれ角度を調整する機能,標準位置,都度操作,都度操作が必要,後席乗員,長距離移動,快適性向上,背もたれ横のレバー,荷室容量が減少,電動式もあり
FN012,シートクーラー,シートクーラー,快適機能,座面を冷却する機能,OFF,都度操作,都度操作が必要,全ドライバー,夏季,快適性向上,シート横のスイッチで3段階調整,エアコン併用推奨,ベンチレーション機能とも呼ばれる
FN013,渋滞追従機能,渋滞追従,運転支援,渋滞時に前車に追従して自動で停止・発進する機能,OFF,常時ON可能,一度ONで継続,全ドライバー,渋滞時,疲労軽減,ACCの一部機能,前車発進後3秒以内に再発進,全車速追従型ACCに搭載
FN014,パーキングアシスト,パーキングアシスト,駐車支援,駐車時のステアリング操作を自動で行う機能,OFF,都度操作,都度操作が必要,初心者・全ドライバー,駐車場,駐車の簡便化,ディスプレイで操作,アクセル・ブレーキは手動,縦列駐車・並列駐車に対応
FN015,ドライバー異常時対応システム,EDSS,運転支援,ドライバーの異常を検知して自動で停止する機能,ON,常時ON,操作不要,全ドライバー,緊急時,安全性向上,常時作動,ステアリング操作がない場合に警告,緊急時の事故防止
FN016,ハンズフリーパワーバックドア,ハンズフリーPBD,便利機能,足をかざすだけでバックドアを自動で開閉する機能,OFF,都度操作,都度操作が必要,全ドライバー,買い物・荷物の積み下ろし・両手がふさがっている時,利便性向上・ハンズフリー操作,リアバンパー下に足をかざす,センサーの反応範囲に注意,通常のパワーバックドア機能も使用可能
