check_id,node_id,question,answer_type,answers,supports,notes
CHECK-001A,NODE-001A,スマートキーのインジケーターは点灯しますか?,boolean,"yes|no","車両バッテリー上がり|スマートキー電池切れ",電池残量の初期判定
CHECK-001B,NODE-001B,どうしたいですか？,choice,"immediate|battery_replace","機械キー使用|電池交換",ユーザー意図の確認
CHECK-001E,NODE-001F,機械キーを持っていますか?,boolean,"yes|no","機械キー開錠|ロードサービス",機械キー所持確認
CHECK-001F,NODE-001H,機械キーで開きましたか?,boolean,"yes|no","開錠成功|ドアロック故障",開錠成功確認
CHECK-001G,NODE-001E,電池交換後、解決しましたか?,boolean,"yes|no","解決|複数原因",電池交換効果確認
CHECK-001H,NODE-001K,室内灯やメーターは点灯しますか?,boolean,"yes|no","車両バッテリー正常|バッテリー上がり",車両バッテリー確認
CHECK-001H2,NODE-001D,室内灯やメーターは点灯しますか?,boolean,"yes|no","車両バッテリー正常|バッテリー上がり",車両バッテリー確認
CHECK-001I,NODE-001M,近くに強い電波を発する施設（空港・放送局等）がありますか?,boolean,"yes|no","電波干渉|その他原因",電波干渉可能性
CHECK-001J,NODE-001N,キーを車体に近づけて操作すると解決しますか?,boolean,"yes|no","電波干渉確定|その他原因",電波干渉対応確認
CHECK-001K,NODE-001L,代替のスマートキーはありますか?,boolean,"yes|no","代替キー使用|専門家対応",代替キー所持確認
CHECK-001L,NODE-001O,代替キーで解決しましたか?,boolean,"yes|no","元のキー故障|車両側故障",キー故障判定
CHECK-001M,NODE-001G,ジャンプスタートできる環境ですか？（他の車両がいる等）,boolean,"yes|no","ジャンプスタート|ロードサービス",ジャンプ可否確認
CHECK-002A,NODE-002A,パーキングブレーキは解除されていますか?,boolean,"yes|no","ブレーキ液不足|パーキングブレーキ作動",
CHECK-003A,NODE-003A,タイヤが明らかに潰れて見えますか?,boolean,"yes|no","急激な空気漏れ|空気圧低下",
CHECK-004A,NODE-004A,メーターは点灯しますか?,boolean,"yes|no","キー認識不良|バッテリー上がり",
CHECK-005A,NODE-005A,フロント周辺は汚れていますか?,boolean,"yes|no","センサー汚れ|条件未達",
THEME-002-C001,THEME-002-START,パーキングブレーキは解除されている,boolean,いいえ|はい,,
THEME-002-C002,THEME-002-N001,パーキングブレーキを解除した,boolean,はい|いいえ,,
THEME-002-C003,THEME-002-N003,ブレーキ液は規定量ある,boolean,はい|いいえ,,
THEME-002-C004,THEME-002-N004,ブレーキ液を補充した,boolean,はい|いいえ,,
THEME-002-C005,THEME-002-N005,警告灯は消えた,boolean,はい|いいえ,,
THEME-002-C006,THEME-002-N006,走行中か,boolean,はい|いいえ,,
THEME-001-C001,THEME-001-START,スマートキーのインジケーターは点灯する,boolean,いいえ|はい,,
THEME-001-C002,THEME-001-N001,どうしたい,boolean,すぐ開けたい|電池交換したい,,
THEME-001-C003,THEME-001-N002,機械キーはある,boolean,はい|いいえ,,
THEME-001-C004,THEME-001-N003,機械キーで開錠できた,boolean,はい|いいえ,,
THEME-001-C005,THEME-001-N005,どうしたい,boolean,自分で交換|販売店で交換,,
THEME-001-C006,THEME-001-N006,準備物は揃ってる,boolean,はい|いいえ,,
THEME-001-C007,THEME-001-N007,電池を入手した,boolean,はい|いいえ,,
THEME-001-C008,THEME-001-N008,電池交換後、解決した,boolean,はい|いいえ,,
THEME-001-C009,THEME-001-N010,車両の電装品（ライト等）は動作する,boolean,いいえ|はい,,
THEME-001-C010,THEME-001-N011,車両の電装品（ライト等）は動作する,boolean,いいえ|はい,,
THEME-001-C011,THEME-001-N012,ジャンプスタートできる環境,boolean,はい|いいえ,,
THEME-001-C012,THEME-001-N014,強い電波を発する施設（空港・放送局等）の近く,boolean,はい|いいえ,,
THEME-001-C013,THEME-001-N015,解決した,boolean,はい|いいえ,,
THEME-001-C014,THEME-001-N016,予備のキーはある,boolean,はい|いいえ,,
THEME-001-C015,THEME-001-N017,予備のキーで解決した,boolean,はい|いいえ,,
