商談ID,顧客プロファイルID,家族構成ID,用途ID,予算ID,商談シーンID,総合提案レベル,推奨トークスクリプト,重点訴求ポイント,提示資料,デモ・体験,次ステップ提案,備考
SALES_001,PROF_001,FAM_001,USE_001,BUD_001,SCENE_001,2.1,初めての車購入ですね。まずは車の基本的な使い方から、安心してお使いいただけるようご説明させていただきます。,燃費の良さ、維持費の安さ、運転のしやすさ、安全装備の充実,初心者向けパンフレット、維持費シミュレーション、安全装備動画,駐車支援システムのデモ、スマホ連携体験,試乗の提案、購入後サポート説明,丁寧な基礎説明が必要
SALES_002,PROF_002,FAM_004,USE_003,BUD_003,SCENE_002,1.2,前回のモデルからさらに進化した安全装備と、お子様の送迎に便利な機能をご紹介します。,新型の安全装備、乗降性の向上、室内空間の拡大、燃費改善,新旧比較表、安全装備進化資料、室内空間比較,チャイルドシート装着デモ、パワースライドドア体験,試乗予約、見積提示,同メーカーなので簡潔に差分説明
SALES_003,PROF_003,FAM_002,USE_008,BUD_004,SCENE_001,1.5,他メーカーからお乗り換えをご検討いただきありがとうございます。当社の強みと、○○様のドライブスタイルに合った特長をご紹介します。,走行性能の優位性、先進技術、ブランド信頼性、アフターサービス,他社比較表、走行性能データ、顧客満足度調査,試乗車での走行体験予約、コネクテッド機能デモ,試乗予約、競合比較資料提供,他社との差別化を明確に
SALES_004,PROF_004,FAM_002,USE_008,BUD_005,SCENE_004,0.9,試乗いかがでしたか？走行性能や先進装備について、技術的な詳細もご説明できます。,エンジンスペック、シャシー性能、先進運転支援の技術詳細,技術仕様書、性能曲線図、システム構成図,詳細設定メニュー確認、カスタマイズオプション提案,見積提示、オプション詳細説明,技術的な深掘りに対応
SALES_005,PROF_005,FAM_003,USE_003,BUD_002,SCENE_003,1.8,お子様との安全なドライブのために、この車がどのようにサポートしてくれるかを、実際に体験していただきながらご説明します。,自動ブレーキの仕組み、チャイルドシート対応、乗降のしやすさ、見守り機能,安全装備わかりやすい図解、子育て家族の体験談、安全性能試験結果,チャイルドシート装着体験、安全装備の実演、スマホアプリ連携,試乗実施、家族での再来店提案,わかりやすく丁寧な説明
SALES_006,PROF_006,FAM_001,USE_006,BUD_002,SCENE_005,1.3,御社の業務効率向上とコスト削減の観点から、最適なプランをご提案いたします。,TCO（総保有コスト）、燃費性能、メンテナンス性、耐久性,TCO試算表、法人向けプラン、メンテナンスパック、リース比較,燃費シミュレーション、メンテナンス説明、車両管理システム,契約条件調整、複数台割引提案,ビジネス視点での提案
SALES_007,PROF_007,FAM_002,USE_008,BUD_006,SCENE_002,1.0,最上位グレードならではの質感と、最新の先進技術をご体験いただけます。特別な一台をお選びいただくためのご提案をさせていただきます。,最上位グレードの質感、専用装備、ブランド価値、所有する喜び,最上位グレードカタログ、専用装備詳細、オーナーズボイス,本革シート体感、プレミアムオーディオ試聴、特別色確認,試乗（最上位グレード）、特別オプション提案,高級志向に合わせた提案
SALES_008,PROF_008,FAM_004,USE_002,BUD_001,SCENE_001,1.4,毎日の使いやすさと、家計に優しい経済性を両立した、実用的な一台をご紹介します。,燃費の良さ、維持費の安さ、使い勝手の良さ、十分な装備,実燃費データ、維持費シミュレーション、標準装備一覧,荷室の広さ確認、小回り性能体験、燃費計の見方,試乗予約、月々の支払いシミュレーション,コスパの良さを強調
SALES_009,PROF_009,FAM_004,USE_001,BUD_003,SCENE_002,1.3,環境性能と経済性を両立したハイブリッドシステムの魅力をご説明します。地球にも家計にも優しい選択です。,ハイブリッド燃費、CO2削減効果、エコカー減税、静粛性,環境性能データ、エコカー減税額、燃料費比較、環境貢献度,ハイブリッド走行モード体験、燃費モニター確認,試乗（ハイブリッド）、補助金申請サポート,環境価値を訴求
SALES_010,PROF_010,FAM_003,USE_003,BUD_003,SCENE_003,1.6,お子様の安全を守る最新の安全装備について、一つ一つ丁寧にご説明します。試乗では実際に安全装備の作動を体験していただけます。,予防安全装備の詳細、衝突安全性能、チャイルドシート適合、見守り機能,安全性能評価書、安全装備詳細資料、事故回避事例,自動ブレーキ体験、死角モニター確認、チャイルドシート装着,試乗実施、安全装備の再確認,安全性を最優先で説明
