メッセージID,ルールID,機能ID,推奨機能,機能カテゴリ,操作特性,推奨ロジック,シーン説明,メッセージテンプレート,チャネル,優先度
MSG_SALES_001,R001,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,渋滞時・初心者・未使用,【提案】お客様は渋滞追従機能をまだ使われていません。次回の試乗時に、渋滞時の便利さを体験していただくと良いでしょう。低速で安全に練習できます,アプリ通知,高
MSG_SALES_002,R004,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・初心者・未使用,【提案】お客様は駐車支援機能をまだ使われていません。次回来店時に、パノラミックビューモニターの使い方をご説明すると喜ばれるでしょう,アプリ通知,高
MSG_SALES_003,R005,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,夜間一般道・初心者・未使用,【提案】お客様は夜間運転が多いですが、オートハイビームを使われていません。操作不要で安全性が向上することをお伝えしましょう,アプリ通知,高
MSG_SALES_004,R009,FN002,LKA,運転支援,一度ONで継続,初回のみ推奨,高速道路・中級者・初回体験済み,【フォロー】お客様はLKAを1回使われましたが、その後使われていません。使い勝手に問題がなかったか、次回来店時に確認しましょう,アプリ通知,中
MSG_SALES_005,R010,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,雨天渋滞・初心者・未使用,【提案】雨の日の渋滞でお客様は疲れているようです。渋滞追従機能の便利さをお伝えし、次回試乗をご提案しましょう,アプリ通知,中
MSG_SALES_006,R012,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,【提案】冬季になりました。お客様はシートヒーターをまだ使われていません。次回来店時に、快適性と腰痛予防の効果をお伝えしましょう,アプリ通知,中
MSG_SALES_007,R013,FN008,ステアリングヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,【提案】冬季になりました。お客様はステアリングヒーターをまだ使われていません。次回来店時に、快適性向上についてお伝えしましょう,アプリ通知,中
MSG_SALES_008,R015,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,【提案】お客様は買い物での利用が多いですが、パワーバックドアを使われていません。荷物が多い時の便利さをお伝えしましょう,アプリ通知,高
MSG_SALES_009,R021,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,【提案】お客様は買い物での利用が多いですが、パワーバックドアを使われていません。両手がふさがっている時の便利さをお伝えしましょう,アプリ通知,高
MSG_SALES_010,R026,FN002,LKA,運転支援,一度ONで継続,定着促進推奨,高速道路・中級者・初回体験済み,【情報】お客様はLKAを使い始めました。高速道路での疲労軽減に効果的です。定着を促すため、次回来店時にフィードバックを聞きましょう,ダッシュボード,低
MSG_SALES_011,R027,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・中級者・未使用,【提案】お客様は運転に慣れていますが、パノラミックビューモニターはまだ使われていません。狭い場所での便利さをお伝えしましょう,アプリ通知,中
MSG_SALES_012,R028,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・上級者・未使用,【確認】上級者のお客様ですが、パワーバックドアをまだ使われていません。利便性を強調して提案しましょう,CRM連携,高
MSG_SALES_013,R029,FN007,シートヒーター,快適機能,都度操作,毎回推奨,長距離高速・中級者・未使用,【提案】長距離運転が多いお客様です。シートヒーターの腰痛予防効果を説明しましょう,アプリ通知,中
MSG_SALES_014,R030,FN010,デジタルインナーミラー,便利機能,都度操作,毎回推奨,一般道・中級者・未使用,【提案】お客様はデジタルインナーミラーをまだ使われていません。後席に荷物や人がいても後方確認できる便利さをお伝えしましょう,アプリ通知,中
MSG_SALES_015,R031,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,深夜高速・初心者・未使用,【注意喚起】深夜運転が多いお客様です。ACCの疲労軽減効果を強調し、安全運転を促しましょう,CRM連携,中
MSG_SALES_016,R033,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,霧高速・初心者・未使用,【提案】霧の日の運転が多いお客様です。オートハイビームが視認性向上に役立つことをお伝えしましょう,アプリ通知,高
MSG_SALES_017,R036,FN012,シートクーラー,快適機能,都度操作,毎回推奨,夏季長距離高速・初心者・未使用,【提案】夏季の長距離運転が増えています。シートクーラーの快適性をお伝えしましょう,アプリ通知,中
MSG_SALES_018,R037,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季晴れ・中級者・未使用,【提案】冬季になりました。お客様はシートヒーターをまだ使われていません。快適性と腰痛予防の効果をお伝えしましょう,アプリ通知,中
MSG_SALES_021,R039,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,【提案】お客様の車両にはハンズフリーパワーバックドアが装備されていますが、まだ使われていません。足をかざすだけで開閉できる便利な機能です。次回来店時にデモンストレーションをご提案しましょう,アプリ通知,最高
MSG_SALES_022,R040,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,【提案】ハンズフリーパワーバックドアをまだ使われていません。通常のパワーバックドアより便利です。使い方をご案内しましょう,アプリ通知,最高
MSG_SALES_023,R041,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・上級者・未使用,【確認】ハンズフリーパワーバックドアの使用状況を確認し、満足度を聞いてみましょう,CRM連携,最高
