予測ルールID,問い合わせ分類ID,顧客プロファイルID,顧客ステージID,時間帯,曜日,予測される追加質問,予測される不満・懸念,推奨する追加案内,クロスセル・アップセル機会,次回予測される問い合わせ,予防的案内,備考
RULE_001,INQ_001,PROF_001,STAGE_004,朝,平日,シフト操作、ライト操作,操作が難しい、不安,基本操作の動画案内、1週間後フォロー電話予約,なし,他の基本操作,納車時説明の復習資料送付,納車直後に多い
RULE_002,INQ_002,PROF_001,STAGE_004,全時間帯,全曜日,パーキングブレーキ操作、坂道発進,操作ミスが怖い,操作方法の図解資料送付,なし,駐車支援システムの使い方,基本操作マニュアル送付,初心者に多い
RULE_003,INQ_005,PROF_005,STAGE_004,夏季,全曜日,エアコンの風量調整、内外気切替,効きが悪い、燃費が気になる,エアコン効率的な使い方案内,なし,エアコンフィルター交換時期,定期メンテナンス案内,夏季に集中
RULE_004,INQ_006,PROF_005,STAGE_005,夏季,全曜日,エアコンガス補充費用、修理期間,修理費用が高い,点検・整備の予約案内,エアコンガス補充サービス,なし,定期点検の重要性説明,ガス不足は有償修理
RULE_005,INQ_007,PROF_005,STAGE_004,全時間帯,週末,音声認識の使い方、スマホ連携,操作が複雑,ナビ操作の個別レクチャー案内,なし,スマホ連携方法,ナビ操作マニュアル送付,高齢者に多い
RULE_006,INQ_008,PROF_001,STAGE_004,全時間帯,全曜日,音楽再生方法、ハンズフリー通話,接続できない、音が出ない,スマホ連携トラブルシューティング資料,なし,Apple CarPlay/Android Auto,スマホ連携完全ガイド送付,機種により手順異なる
RULE_007,INQ_010,PROF_002,STAGE_005,全時間帯,平日,渋滞追従機能、車間距離設定,作動しない、使いにくい,ACC詳細マニュアル送付、使い方動画案内,なし,LKAの使い方,運転支援機能まとめ資料,高速道路利用者から
RULE_008,INQ_011,PROF_002,STAGE_005,全時間帯,平日,ACCとの併用、作動条件,手放し運転できるか誤解,手放し運転不可を明確に説明、正しい使い方案内,なし,運転支援機能全般,運転支援機能の注意事項,誤解が多い
RULE_009,INQ_013,PROF_001,STAGE_004,全時間帯,週末,縦列駐車の方法、駐車枠認識,うまく駐車できない,駐車支援システム詳細マニュアル、実演案内,パーキングアシスト（オプション）,パノラミックビューモニター,駐車支援機能まとめ資料,初心者に多い
RULE_010,INQ_014,PROF_001,STAGE_004,全時間帯,週末,視点切替方法、画面の見方,画面が見にくい,PVM使い方動画案内,なし,駐車支援システム全般,駐車関連機能まとめ,駐車時に便利
