node_id,primary_intent,secondary_intent,confidence,notes
NODE-001A,I1,I4,0.9,まず開けたい＋破損回避
NODE-001B,I3,I1,0.8,電池交換を自力で or 即時開錠
NODE-001D,I1,I5,0.8,即時開錠 or 専門家依頼
NODE-001E,I3,I2,0.7,電池交換手順を知りたい
NODE-001F,I1,I4,0.9,機械キーで即時開錠
NODE-001G,I5,I4,0.85,バッテリー対応は専門家推奨
NODE-001H,I1,I4,0.9,開錠実施中
NODE-001I,I5,I1,0.9,ロードサービス or 情報確認
NODE-001J,I5,I4,0.95,専門家対応必須
NODE-001K,I2,I5,0.8,原因究明 or 専門家
NODE-001L,I2,I5,0.8,診断継続 or 専門家
NODE-001M,I2,I3,0.7,原因特定
NODE-001N,I3,I1,0.7,自己対応
NODE-001O,I3,I2,0.7,代替キー試行
NODE-001P,I5,I4,0.95,ロードサービス
NODE-001Q,I6,I2,0.7,予防策理解
NODE-001R,I5,I2,0.8,キー修理依頼
NODE-002A,I4,I2,0.9,安全最優先
NODE-002B,I4,I5,0.9,走行可否判断
NODE-002C,I5,I4,0.95,連絡誘導
NODE-003A,I2,I4,0.8,原因理解
NODE-003B,I4,I5,0.9,走行回避
NODE-003C,I3,I6,0.7,自力対応 or 後回し
NODE-004A,I1,I5,0.9,即時始動
NODE-004B,I5,I4,0.95,バッテリー問題
NODE-004C,I1,I5,0.85,ジャンプ or 依頼
NODE-005A,I2,I4,0.8,故障誤認回避
NODE-005B,I3,I2,0.7,清掃対応
NODE-005C,I2,I6,0.6,理解して後回し
THEME-002-START,I1,I4,0.8,自動推定(異常検知)
THEME-002-N001,I1,,0.8,自動推定(判定)
THEME-002-N002,I1,,0.8,自動推定(問題・故障)
THEME-002-→--販売店連絡,I5,,0.8,自動推定(エスカレーション)
THEME-002-N003,I1,,0.8,自動推定(判定)
THEME-002-N004,I1,,0.8,自動推定(判定)
THEME-002-N005,I1,,0.8,自動推定(判定)
THEME-002-N006,I1,I3,0.8,自動推定(原因仮説)
THEME-002-N007,I1,,0.8,自動推定(判定)
THEME-002-→--緊急連絡,I5,,0.8,自動推定(エスカレーション)
THEME-002-販売店連絡,I5,,0.8,自動推定(エスカレーション)
THEME-002-緊急連絡,I5,,0.8,自動推定(エスカレーション)
THEME-002-解決,I3,,0.8,自動推定(対応完了)
THEME-001-START,I1,I4,0.8,自動推定(異常検知)
THEME-001-N001,I1,I3,0.8,自動推定(原因仮説)
THEME-001-N002,I2,I1,0.8,自動推定(対応選択)
THEME-001-N003,I1,,0.8,自動推定(判定)
THEME-001-N004,I1,,0.8,自動推定(判定)
THEME-001-→--ロードサービス,I5,,0.8,自動推定(エスカレーション)
THEME-001-N005,I2,I1,0.8,自動推定(対応選択)
THEME-001-N006,I2,I1,0.8,自動推定(対応選択)
THEME-001-N007,I1,,0.8,自動推定(判定)
THEME-001-N008,I2,I1,0.8,自動推定(対応選択)
THEME-001-N009,I1,,0.8,自動推定(判定)
THEME-001-→--販売店対応,I5,,0.8,自動推定(エスカレーション)
THEME-001-N010,I2,I1,0.8,自動推定(対応選択)
THEME-001-N011,I1,I3,0.8,自動推定(原因仮説)
THEME-001-N012,I1,,0.8,自動推定(判定)
THEME-001-N013,I2,I1,0.8,自動推定(対応選択)
THEME-001-→--解決,I3,,0.8,自動推定(対応完了)
THEME-001-N014,I1,I3,0.8,自動推定(原因仮説)
THEME-001-N015,I2,I1,0.8,自動推定(対応選択)
THEME-001-N016,I1,I3,0.8,自動推定(原因仮説)
THEME-001-N017,I2,I1,0.8,自動推定(対応選択)
THEME-001-N018,I1,,0.8,自動推定(問題・故障)
THEME-001-→--販売店対応,I5,,0.8,自動推定(エスカレーション)
THEME-001-ドアロック故障,I1,,0.8,自動推定(問題・故障)
THEME-001-→--ロードサービス,I5,,0.8,自動推定(エスカレーション)
THEME-001-ロードサービス,I5,,0.8,自動推定(エスカレーション)
THEME-001-販売店対応,I5,,0.8,自動推定(エスカレーション)
THEME-001-解決,I3,,0.8,自動推定(対応完了)
