状況ID,状況カテゴリ,状況名称,緊急度補正,説明
SIT_001,走行状態,高速道路走行中,1.3,高速道路を走行中
SIT_002,走行状態,一般道走行中,1.2,一般道を走行中
SIT_003,走行状態,市街地走行中,1.1,市街地を走行中
SIT_004,走行状態,停車中,0.9,停車している
SIT_005,走行状態,駐車中,0.7,駐車している
SIT_006,時間帯,深夜,1.2,深夜帯（0時～5時）
SIT_007,時間帯,早朝,1,早朝（5時～8時）
SIT_008,時間帯,日中,0.9,日中（8時～17時）
SIT_009,時間帯,夕方,1,夕方（17時～20時）
SIT_010,時間帯,夜間,1.1,夜間（20時～24時）
SIT_011,天候,晴れ,0.9,晴天
SIT_012,天候,雨,1.1,雨天
SIT_013,天候,大雨,1.3,大雨
SIT_014,天候,雪,1.2,降雪
SIT_015,天候,大雪,1.4,大雪
SIT_016,天候,霧,1.1,霧
SIT_017,場所,高速道路,1.2,高速道路
SIT_018,場所,山間部,1.3,山間部
SIT_019,場所,市街地,0.9,市街地
SIT_020,場所,郊外,1,郊外
SIT_021,同乗者,子供同乗,1.2,子供が同乗している
SIT_022,同乗者,高齢者同乗,1.15,高齢者が同乗している
SIT_023,同乗者,単独運転,1,運転者のみ
SIT_024,目的,通勤中,1.1,通勤・通学中
SIT_025,目的,業務中,1.2,業務中
SIT_026,目的,レジャー,0.95,レジャー・観光
SIT_027,目的,帰宅中,1.05,帰宅中
SIT_028,距離,長距離移動中,1.1,100km以上の移動中
SIT_029,距離,短距離移動,0.9,30km未満の移動
SIT_030,距離,中距離移動,1,30km～100kmの移動
